"year" "title" "gross" "budget" "leng" "score" "profit"
2010 "Splice" 17.01017 30 104 74 -12.98983
2010 "Prince of Persia: The Sands of Time" 90.759676 200 115 36 -109.240324
2010 "Sex and the City 2" 95.347692 95 147 15 0.347691999999995
2010 "MacGruber" 8.5256 10 98 47 -1.4744
2010 "Shrek Forever After" 238.736787 165 93 58 73.736787
2010 "Just Wright" 21.540363 12 111 45 9.540363
2010 "Letters to Juliet" 53.032453 30 105 40 23.032453
2010 "Robin Hood" 105.26973 210 148 43 -104.73027
2010 "Iron Man 2" 312.433331 170 125 73 142.433331
2010 "Furry Vengeance" 17.630465 35 92 8 -17.369535
2010 "A Nightmare on Elm Street" 63.075011 35 90 15 28.075011
2010 "The Losers" 23.591432 25 98 49 -1.408568
2010 "The Back-Up Plan" 37.490007 35 98 18 2.490007
2010 "Death at a Funeral" 42.739347 21 90 41 21.739347
2010 "Kick-Ass" 48.071303 28 117 76 20.071303
2010 "Date Night" 98.711404 55 88 67 43.711404
2010 "Clash of the Titans" 163.214888 125 118 28 38.214888
2010 "Tyler Perry's Why Did I Get Married Too" 60.095852 20 121 26 40.095852
2010 "The Last Song" 62.950384 20 107 20 42.950384
2010 "How to Train Your Dragon" 217.581231 165 98 98 52.581231
2010 "Hot Tub Time Machine" 50.287556 36 100 63 14.287556
2010 "The Bounty Hunter" 67.061228 45 106 13 22.061228
2010 "Diary of a Wimpy Kid" 64.003625 15 120 53 49.003625
2010 "Repo Men" 13.794835 32 111 22 -18.205165
2010 "Our Family Wedding" 20.255281 14 90 13 6.255281
2010 "She's Out of My League" 32.01086 20 104 58 12.01086
2010 "Remember Me" 19.06824 16 128 27 3.06824
2010 "Green Zone" 35.05366 100 115 53 -64.94634
2010 "Alice in Wonderland" 334.19111 200 109 51 134.19111
2010 "Brooklyn's Finest" 27.163593 17 133 43 10.163593
2010 "Cop Out" 44.875481 37 110 19 7.875481
2010 "The Crazies" 39.123589 19 101 71 20.123589
2010 "Shutter Island" 128.012934 80 138 69 48.012934
2010 "Valentine's Day" 110.485654 52 117 18 58.485654
2010 "The Wolfman" 61.97968 150 102 34 -88.02032
2010 "Percy Jackson & the Olympians: The Lightning Thief" 88.768303 95 120 49 -6.231697
2010 "From Paris with Love" 24.077427 52 95 37 -27.922573
2010 "Dear John" 80.014842 25 108 28 55.014842
2010 "Edge of Darkness" 43.31389 60 108 56 -16.68611
2010 "Extraordinary Measures" 12.068313 31 106 28 -18.931687
2010 "Tooth Fairy" 60.022256 48 102 18 12.022256
2010 "Legion" 40.16808 26 100 20 14.16808
2010 "The Book of Eli" 94.835059 80 118 48 14.835059
2010 "The Spy Next Door" 24.307086 28 92 12 -3.692914
